id,Pancasila,Pend Kewarganegaraan,FAAL,B. Inggris,B indonesia,Agama,Sosiologi,Filsafat Umum,Pengantar Psikologi,Psikologi Fungsi Dasar,Psikologi anak dan remaja,Filsafat dan ilmu logika,Biopsikologi,Asas Manajemen,Statitiska,Behavioristik,Psikologi fungsi mental tinggi,psikologi dewasa,humanistik dan psikologi positif,psikodiagnostika,interaksi antar pribadi,tes klasikal,ilmu pertanyaan,psikologi abnormal,observasi dalam psikologi,psikologi kognitif,teori psikologi perkembangan,interaksi kelompok dan lingkungan,P.O,Psikologi Klinis,Psikologi personel,psikologi pendidikan,masalah umum dan gangguan anak,psikometri,teknik training,antropologi budaya,psikologi eksperimen,Metodologi peneliotian,konseling,KKN,Konstruksi alat ukur,Konselor sekolah ,pengantar psikologi militer,teori psikologi sosial,Emotional self-awareness,accurate self-assessment,self-confidence,emphaty,organitational-awareness,self-control,transparency,adaptability,initiative,achievment drive,leadership,developing other,influence,conflict management,teamwork,building bonds,communication,waktu lulus
1,6,8,8,8,8,8,8,7,16,8,8,7,8,6,8,8,8,8,16,8,8,6,8,7,8,6,8,7,8,8,8,0,0,8,8,8,8,8,6,8,8,8,8,8,3,2,4,3,3,2,2,0,3,3,1,4,2,3,2,1,1,1
2,8,8,6,8,8,7,8,7,16,6,8,7,8,8,8,8,8,8,16,8,8,7,8,7,8,8,8,7,8,8,8,0,0,8,8,8,8,8,8,6,8,8,8,8,2,3,2,2,3,4,4,3,1,2,2,1,2,2,1,1,2,1
3,8,8,8,8,8,8,8,7,16,8,7,7,8,8,8,7,8,8,16,7,8,6,8,7,7,8,8,7,8,7,7,0,0,8,8,7,8,8,8,8,7,8,8,8,2,2,3,4,3,1,2,2,3,3,2,2,3,0,0,2,1,1
4,8,8,6,8,8,7,8,6,12,6,8,6,8,8,7,8,6,7,16,8,8,7,8,6,8,8,4,6,8,0,0,8,5,8,8,8,8,8,8,6,8,4,4,8,4,3,3,1,2,2,3,4,2,2,3,3,2,2,1,1,0,1
5,8,8,8,8,8,8,8,5,12,8,7,5,6,8,8,8,7,8,16,8,8,5,8,5,8,8,8,5,8,8,7,0,0,8,8,8,8,8,8,8,8,8,8,8,3,2,2,2,3,2,2,2,2,2,1,2,3,2,1,1,1,1
6,6,8,7,7,8,7,6,6,14,7,8,6,8,6,8,8,8,8,14,8,8,5,8,6,8,6,8,6,7,5,7,0,0,8,8,8,8,8,6,7,8,8,8,8,3,3,3,3,2,2,3,1,2,3,2,1,2,2,0,0,0,1
7,8,8,8,5,8,8,7,5,12,8,8,5,7,8,8,8,8,8,14,8,8,5,8,5,8,8,8,5,8,6,8,0,0,8,8,7,8,8,8,8,8,8,8,8,4,2,3,2,3,3,4,1,1,4,3,3,4,1,1,0,1,1
8,7,8,5,8,8,5,7,5,12,5,6,5,8,7,8,7,7,4,12,8,8,7,8,5,8,7,8,5,8,0,0,8,6,8,8,8,8,8,7,5,8,8,8,8,3,2,3,3,2,4,4,2,2,2,2,2,2,2,2,0,2,1
9,7,7,8,7,8,7,8,6,8,8,5,6,6,7,8,7,7,8,14,8,8,7,8,6,8,7,8,6,7,6,5,0,0,8,7,8,8,8,7,8,8,8,8,8,2,3,2,2,1,2,3,3,3,3,1,3,3,2,1,1,1,1
10,8,8,8,8,8,7,8,5,16,8,8,5,7,8,8,6,7,8,16,8,8,5,8,5,8,8,7,5,7,8,5,0,0,8,8,6,8,8,8,8,8,7,7,8,3,3,2,1,2,3,4,2,2,2,2,2,2,1,2,1,1,1
